text	sentiment
U.S. stocks roared out of the gate in 2019 before hitting a wall this week. Meanwhile, analysts have cut estimates for first-quarter profit growth below zero for the first time in three years https://t.co/giYFXotGl3	-1
S&P 500 executives are talking about a recession much more frequently than they were last year. https://t.co/cm8xO2N6SO https://t.co/Ar0lZYjHZr	-1
One of the greatest fund managers of all time announced his retirement this week. Steve Mandel’s Lone Pine quietly generated 14.4% net of fees annually since 1998 vs 6.6% for the S&amp;P 500. $26 billion in total profit for his investors.   https://t.co/HK26qyfU6c @firstadopter	1
DYK: Attacks from the #Internet causes more than €500 billion in damages worldwide p.a. and accounted for up to 1.6 percent of gross domestic product in some countries in #Europe. It´s time for more #Cybersecurity: https://t.co/8IlyPR7SeF #CharterofTrust https://t.co/xXWTVKIuX8	-1
On Dec 24, only 1% of stocks in the S&P 500 closed above their 50-day moving avg, one of the most extreme oversold levels in history.  After a 16% vertical rally, that number now stands at 88%, highest since April 2016 in 96th percentile of historical readings.  $SPX https://t.co/b0XtB5Rb2o	1
The dramatic rally in U.S. high-yield bonds so far this year has reduced the debt's risk-reward proposition with stocks. Investors are earning the least extra yield to own junk bonds versus the earnings yield on the S&P 500 since October. https://t.co/OKVCuKCINM	1
S&P 500... The massive recovery has been fully driven by dovish central banks, despite unexciting earnings and guidance. https://t.co/laRBMWxj9g	1
Stocks fell on Thursday as investors worried that the United States and China would not be able to reach a trade deal before a March 2 deadline.   The Dow fell 221 points, or 0.9%. The S&P 500 fell 0.9% and the Nasdaq was down 1.2%. https://t.co/4N3FDdAU3F	-1
US markets all opened sharply lower Thursday. The Dow fell 165 points, or 0.7%. The S&P 500 was down 0.7%, while the Nasdaq dropped 0.9%. Watch live https://t.co/u5W17gUwqt	-1
Texas crude oil production breaks all-time record. #txlege  https://t.co/RYEWRLUh4b	1
PM @narendramodi to inaugurate/lay foundation for  the following projects.  *100 bed, ESIC Hospital, Tiruppur *Modernising Trichy Airport *Modernising Chennai Airport *470 bed, ESIC Hospital, Ennore *Crude oil pipeline, Chennai *Metro line, Washermenpet  #TNWelcomesModi	1
PM Modi is coming to TN to inaugurate/lay foundation for  the following projects.  *100 bed, ESIC Hospital, Tiruppur *Modernising Trichy Airport *Modernising Chennai Airport *470 bed, ESIC Hospital, Ennore *Crude oil pipeline, Chennai *Metro line, Washermenpet  #TNWelcomesModi https://t.co/3ABmzWJoxs	1
A sad reminder. Picture 1 is for Qatar. They eradicated poverty to 0.0%. (No one is poor)  Picture 2 is for Nigeria. The poorest country in the world, and poverty is rising.   They both have crude oil. One is a genius, the other’s insane.   Source: https://t.co/WnoJc2KgN4 https://t.co/zwcBk3cXc7	-1
Oil & Gas sector is a key contributor to India’s economy and accounted for almost 55% of India’s  energy mix in 2017.  India is the 3rd largest consumer of crude oil & petroleum products globally accounting for 4.5 % of world oil consumption, behind US and China. #PETROTECH	1
India is the largest buyer of Mexican crude oil in Asia and the third largest overall globally. Invited Mexican E&P Companies to participate in India’s Oil &amp; Gas sector. Also explored opportunities for investments for Indian companies in Mexican hydrocarbon sector.#Petrotech2019 https://t.co/2QNyToBusv	1
Report: Texas crude oil production breaks 1970s record https://t.co/IWEy5hIuio	1
Honorable Minister of State for Petroleum Resources, Dr @IbeKachikwu is in Lagos to headline a Ministerial Press Briefing on the Crude Oil and LNG Tracking Process and other Automation Initiatives embarked on by the Department of Petroleum Resources as part of the #7BigWins. https://t.co/U11sg2Y7VU	1
-Stocks begin week on a cautious note -Worries on global growth are driving bonds higher -Iron ore rocked by the crisis at Brazil’s Vale -Crude oil holds below $53 a barrel -Japan shut for holiday https://t.co/4WeoUDviYZ https://t.co/KEVQF6S3T9	-1
'Imports of Russian crude oil and LNG do not go through any chokepoints such as the Strait of Hormuz. Therefore they are important...'   https://t.co/98HtBSx5pH	1
CHART OF THE DAY: U.S. crude #oil exports rose to a record 2.61m b/d in November, up from 2.33m b/d in October (according to data released last week after a big delay due to the government shutdown). #OOTT #TradeWar #Permian https://t.co/AkI0fksVLQ	-1
The world's top energy companies booked enormous profits last year thanks to higher oil prices and keeping a tight lid on spending, even if that risked limiting their medium-term production capacity https://t.co/QcpCaQxdVw	1
Oil keeps falling after its worst weekly loss of the year so far https://t.co/XADR8ZnCmY https://t.co/bVqxPvRmtN	-1
@YeleSowore Nigeria loses huge amounts of revenue yearly to crude oil theft ($869.02m in 2016 under @MBuhari ) and sabotage ($3.55bn in 2016 under @MBuhari). What will you do to curb these losses if you become president?   #FixOurOil	-1
I think the bigger news which everyone missed out on is that a Saudi VLCC supertanker is crossing the Atlantic empty of crude oil. It's not sailing on a full belly to the US like it normally does, but empty to Venezuela to pick up oil for India. A reflection of export cuts. #OOTT https://t.co/Fg72G1oY0y	-1
